,iOS / Software,App Issue,Device / Hardware,Messages / Calling,Settings / Features,Battery / Charging,Music / Media,Connectivity,iCloud / Backup / Data,Apple ID / Account,App Store / Purchases,Other / General
iOS / Software,27,3,0,2,2,2,0,0,0,0,1,25
App Issue,2,1,0,1,0,0,0,0,0,0,0,6
Device / Hardware,1,0,6,0,0,0,0,0,0,0,0,3
Messages / Calling,1,0,1,3,3,0,0,0,0,0,0,5
Settings / Features,0,0,0,0,1,0,0,0,0,0,0,3
Battery / Charging,1,0,0,0,0,12,0,0,0,0,0,5
Music / Media,1,0,0,0,0,0,7,0,1,1,0,6
Connectivity,0,0,0,1,0,0,0,11,0,0,0,4
iCloud / Backup / Data,0,0,0,0,0,0,0,0,2,0,0,5
Apple ID / Account,0,0,0,0,0,0,0,0,0,1,0,2
App Store / Purchases,0,0,0,0,0,0,0,0,0,0,0,0
Other / General,1,0,0,4,1,0,0,0,0,2,0,33
