gold_id,conversation_id,length_bucket,conversation_length,conversation_context,first_customer_message,latest_customer_message,proposed_intent,intent_confidence,proposed_escalate,proposed_escalation_reason,human_intent,human_escalate,human_escalation_reason,review_status,review_notes
1,apple_517124_4981,medium,3,"AppleSupport: @239229 We want to help! Has your phone rebooted and returned to normal now? [LINK]
Customer: @AppleSupport It has
AppleSupport: @239229 We're happy to hear it's working as expected now. Please feel free to reach out if the issue returns or you have other questions. We're always happy to help.",@AppleSupport It has,@AppleSupport It has,Other / General,LOW,YES,Insufficient actionable context,iOS / Software,NO,,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag changed from YES to NO.
2,apple_51703_598,medium,3,"AppleSupport: @127615 We can help with MMS. Which version of the iOS are you currently running? You can check in Settings &gt; General &gt; About &gt; Version
Customer: @AppleSupport 11.0.3 (15A432) Last night my keyboard disappeared while trying to text so I reset the phone settings. Still having problems.
AppleSupport: @127615 Thanks. We’ll want to update to iOS 11.1 and then test again. Be sure to back up beforehand. DM us if the issue persists. [LINK]",@AppleSupport 11.0.3 (15A432) Last night my keyboard disappeared while trying to text so I reset the phone settings. Still having problems.,@AppleSupport 11.0.3 (15A432) Last night my keyboard disappeared while trying to text so I reset the phone settings. Still having problems.,Settings / Features,HIGH,NO,Standard support issue,Messages / Calling,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent corrected from 'Settings / Features' to 'Messages / Calling'; escalation flag changed from NO to YES.
3,apple_94865_944,short,2,"AppleSupport: @136618 That should not be happening. Let us help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.
Customer: @AppleSupport [LINK]",@AppleSupport [LINK],@AppleSupport [LINK],Other / General,LOW,YES,Insufficient actionable context,iOS / Software,YES,Insufficient actionable context,REVIEWED,Intent corrected from 'Other / General' to 'iOS / Software'; escalation flag confirmed.
4,apple_2298302_22768,short,2,"AppleSupport: @667151 We'll help. Which headphones are you using? The new Air Pods do have a Find My... feature.
Customer: @AppleSupport A: I don’t have Air pods, just regular headphones B: It was a joke, so yeah 😃","@AppleSupport A: I don’t have Air pods, just regular headphones B: It was a joke, so yeah 😃","@AppleSupport A: I don’t have Air pods, just regular headphones B: It was a joke, so yeah 😃",Music / Media,MEDIUM,NO,Standard support issue,Music / Media,NO,,REVIEWED,Intent confirmed; escalation flag confirmed.
5,apple_398857_3988,medium,4,"AppleSupport: @210324 We want to help. Which iPhone model are you using?
Customer: @AppleSupport @210324 @AppleSupport same problem faced by me to battery get sucked like anything very bad
AppleSupport: @210323 Making sure your battery is up to full power is definitely important! We've received your DM and will continue there.
Customer: @AppleSupport It’s always",@AppleSupport @210324 @AppleSupport same problem faced by me to battery get sucked like anything very bad,@AppleSupport It’s always,Battery / Charging,MEDIUM,YES,Issue remains unresolved after troubleshooting,Battery / Charging,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag confirmed.
6,apple_245374_2257,short,2,"AppleSupport: @172794 We'd like to assist as best we can. Are you fully up-to-date with iOS 11.0.2? Reach out to us in a DM. [LINK]
Customer: @AppleSupport Yes it’s successfully updated to iOS 11.0.2 - also do u really think that customer should DM u or u should try to reach out to customer??? 😡",@AppleSupport Yes it’s successfully updated to iOS 11.0.2 - also do u really think that customer should DM u or u should try to reach out to customer??? 😡,@AppleSupport Yes it’s successfully updated to iOS 11.0.2 - also do u really think that customer should DM u or u should try to reach out to customer??? 😡,iOS / Software,HIGH,NO,Standard support issue,iOS / Software,YES,Customer expressing significant frustration,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
7,apple_1762990_17886,long,9,"AppleSupport: @273592 Let’s partner to figure this out. Do you notice this behavior when sending messages to multiple recipients?
Customer: @AppleSupport no just one sender
AppleSupport: @273592 Which app are you using to communicate with this specific contact; Messages app, or a third-party app?
Customer: @AppleSupport message app. The screenshot is what you see from their phone. From my phone it shows up in a whole paragraph form
AppleSupport: @273592 Thanks for clarifying that for us. Are they using an iOS device or iMessages on a Mac?
Customer: @AppleSupport it is a regular message because it is going to a Samsung user
AppleSupport: @273592 Understood. Let's discuss this further in DM. [LINK]
Customer: @AppleSupport DM, you all never respond to DMs
AppleSupport: @273592 We've received your DM and look forward to working with you there. [LINK]",@AppleSupport no just one sender,"@AppleSupport DM, you all never respond to DMs",Device / Hardware,MEDIUM,NO,Standard support issue,App Issue,YES,Customer expressing significant frustration,REVIEWED,Intent corrected from 'Device / Hardware' to 'App Issue'; escalation flag changed from NO to YES.
8,apple_1364773_13178,long,5,"AppleSupport: @437758 We're here to help. What concerns do you have with your battery?
Customer: @AppleSupport I wanted to see if the health of my battery is deteriorating or not
AppleSupport: @437758 Which device and OS version are you using? What's got you wanting to check if your batter is deteriorating?
Customer: @AppleSupport iOS 11.0.2.
AppleSupport: @437758 Go ahead and DM us some information about what's going on and we'll continue working there. [LINK]",@AppleSupport I wanted to see if the health of my battery is deteriorating or not,@AppleSupport iOS 11.0.2.,iOS / Software,HIGH,NO,Standard support issue,Battery / Charging,NO,,REVIEWED,Intent corrected from 'iOS / Software' to 'Battery / Charging'; escalation flag confirmed.
9,apple_2414296_24160,medium,3,"AppleSupport: @548341 We know how important FaceTime is and we'd like to help look into this. What device was this on and what trouble were you seeing with FaceTime?
Customer: @AppleSupport 7 and video/audio quality is choppy no matter what the connection is
AppleSupport: @548341 Let's have a look at this together. Can you please DM us? [LINK]",@AppleSupport 7 and video/audio quality is choppy no matter what the connection is,@AppleSupport 7 and video/audio quality is choppy no matter what the connection is,Other / General,LOW,NO,Standard support issue,Music / Media,NO,,REVIEWED,Intent corrected from 'Other / General' to 'Music / Media'; escalation flag confirmed.
10,apple_2472869_24656,long,5,"AppleSupport: @546009 Are you using the Control Center to connect to Wi-Fi? Learn more about how the newly designed Control Center works in iOS 11: [LINK]
Customer: @AppleSupport I have used every possible way both manually and Using the control center.My Wifi security is WPA is that an issue?
AppleSupport: @546009 The type of security you have on your router shouldn't be causing your disconnects. Does this happen on any other Wi-Fi networks or just this one? We absolutely want to help get you reliable Wi-Fi connections.
Customer: @AppleSupport This happens on one particular WIFI network but the same network works perfectly fine with my other phones(non-ios).
AppleSupport: @546009 Got it. Would you mind please joining us in DM? We'd like to start troubleshooting. [LINK]",@AppleSupport I have used every possible way both manually and Using the control center.My Wifi security is WPA is that an issue?,@AppleSupport This happens on one particular WIFI network but the same network works perfectly fine with my other phones(non-ios).,Connectivity,HIGH,YES,Account/security-sensitive issue,Connectivity,NO,,REVIEWED,Intent confirmed; escalation flag changed from YES to NO.
11,apple_1048032_10302,long,5,"AppleSupport: @367708 We want your iOS device working for you. We'll do all we can to help. To start, let us know what device you're using.
Customer: @AppleSupport iPhone 7
AppleSupport: @367708 We appreciate the info. When you mention your iPhone having keyboard bugs, can you describe for us what you mean?
Customer: @AppleSupport Keyboard expands when I want to type (like normal). But at times will not retract. I cannot see recent texts bc keyboard covers them
AppleSupport: @367708 We'd like to look into this with you in more detail. Send us a DM using the following link to continue. [LINK]",@AppleSupport iPhone 7,@AppleSupport Keyboard expands when I want to type (like normal). But at times will not retract. I cannot see recent texts bc keyboard covers them,Settings / Features,HIGH,NO,Standard support issue,Messages / Calling,NO,,REVIEWED,Intent corrected from 'Settings / Features' to 'Messages / Calling'; escalation flag confirmed.
12,apple_773519_7512,long,5,"AppleSupport: @304774 We'd love to help you out! When you say it isn't working, do you mean it won't connect? Or that it has no power?
Customer: @AppleSupport the connection is made but after 2 or 3 min does not recognize the click or is frozen, or the click is made on another part of the screen
AppleSupport: @304774 Thank you for clarifying that for us! Check out the steps in this article to help resolve the problem: [LINK] [LINK]
Customer: @AppleSupport I already did the steps that indicates the link and still Magic Mouse doesn’t work correctly, since upgrading to High Sierra this happens 😩
AppleSupport: @304774 Thanks for working through those steps. Let's meet up in DM and continue our troubleshooting there. [LINK]","@AppleSupport the connection is made but after 2 or 3 min does not recognize the click or is frozen, or the click is made on another part of the screen","@AppleSupport I already did the steps that indicates the link and still Magic Mouse doesn’t work correctly, since upgrading to High Sierra this happens 😩",Device / Hardware,MEDIUM,NO,Standard support issue,Device / Hardware,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
13,apple_810319_7819,medium,3,"AppleSupport: In iOS 11 on #iPad, all of your files are now in one handy place. Here's a look at the new Files app. Learn more [LINK] [LINK]
Customer: @AppleSupport How come when I switch wifi and Bluetooth off from the control center, in settings it’s still on?
AppleSupport: @313193 We're happy to help. Take a look here for a summary of how Bluetooth works in the Control Center in iOS 11: [LINK]","@AppleSupport How come when I switch wifi and Bluetooth off from the control center, in settings it’s still on?","@AppleSupport How come when I switch wifi and Bluetooth off from the control center, in settings it’s still on?",Connectivity,HIGH,NO,Standard support issue,Connectivity,YES,Issue remains unresolved after troubleshooting,REVIEWED,Intent confirmed; escalation flag changed from NO to YES.
14,apple_1470012_14304,medium,3,"AppleSupport: @461196 We want to help. Are you using an Apple branded charging cable?
Customer: @AppleSupport Yes I am and why are like $20+? Rip off
AppleSupport: @461196 Let's continue the conversation in DM. Which country are you located in? [LINK]",@AppleSupport Yes I am and why are like $20+? Rip off,@AppleSupport Yes I am and why are like $20+? Rip off,Other / General,LOW,NO,Standard support issue,Battery / Charging,YES,Customer expressing significant frustration,REVIEWED,Intent corrected from 'Other / General' to 'Battery / Charging'; escalation flag changed from NO to YES.
15,apple_2424408_24254,medium,4,"AppleSupport: @696227 We want to help with any issues you're having. Please DM us details on what apps are in use when this happens and what exactly happens when it crashes. Does it restart or do the apps just close on you. Let us know and we'll work together on resolving the issues. [LINK]
Customer: @AppleSupport I keep updating hoping the issues get fixed but they get worse
AppleSupport: @696227 When they close unexpectedly, does your iPhone completely restart or does the app just close? Do you see any updates available in the App Store? DM us and we'll continue there. [LINK]
Customer: @AppleSupport Guys I don’t wanna break up with you, but google... [LINK]",@AppleSupport I keep updating hoping the issues get fixed but they get worse,"@AppleSupport Guys I don’t wanna break up with you, but google... [LINK]",Other / General,LOW,NO,Standard support issue,App Issue,NO,,REVIEWED,Intent corrected from 'Other / General' to 'App Issue'; escalation flag confirmed.
