gold_id,conversation_id,latest_customer_message,predicted_action,human_intent,predicted_intent,intent_confidence,top_similarity,reason
2,apple_51703_598,@AppleSupport 11.0.3 (15A432) Last night my keyboard disappeared while trying to text so I reset the phone settings. Still having problems.,auto_handle,Messages / Calling,Settings / Features,0.9329,0.723,The issue is clear and relevant historical evidence is available.
3,apple_94865_944,@AppleSupport [LINK],clarify,iOS / Software,Other / General,0.6408,0.5207,The affected product or feature is unclear.
5,apple_398857_3988,@AppleSupport It’s always,auto_handle,Battery / Charging,Battery / Charging,0.9824,0.6968,The issue is clear and relevant historical evidence is available.
6,apple_245374_2257,@AppleSupport Yes it’s successfully updated to iOS 11.0.2 - also do u really think that customer should DM u or u should try to reach out to customer??? 😡,auto_handle,iOS / Software,iOS / Software,0.9724,0.8446,The issue is clear and relevant historical evidence is available.
13,apple_810319_7819,"@AppleSupport How come when I switch wifi and Bluetooth off from the control center, in settings it’s still on?",auto_handle,Connectivity,Connectivity,0.9543,0.8986,The issue is clear and relevant historical evidence is available.
26,apple_1711965_17227,@AppleSupport Doesn’t work @AppleSupport 😣,auto_handle,iOS / Software,Other / General,0.674,0.9232,The issue is clear and relevant historical evidence is available.
41,apple_2623985_26042,@AppleSupport It still happen when I close iTunes 😅 [LINK],auto_handle,Music / Media,Music / Media,0.9063,0.6912,The issue is clear and relevant historical evidence is available.
44,apple_11132_209,@AppleSupport Tried the steps. Still receiving an error message. Just updated to iOS 11.1 and got the message when my phone restarted,auto_handle,iOS / Software,Messages / Calling,0.7652,0.7407,The issue is clear and relevant historical evidence is available.
99,apple_810319_7826,@AppleSupport Twitter after the ios11 update. Twitter support not responding so I wondered if you had any ideas. Twitter doesn’t go to last place I looked,auto_handle,iOS / Software,App Issue,0.9506,0.6718,The issue is clear and relevant historical evidence is available.
153,apple_619439_6122,"@AppleSupport No your not, I have dm you several times and still my battery issues",auto_handle,Battery / Charging,Battery / Charging,0.8361,0.7139,The issue is clear and relevant historical evidence is available.
167,apple_2631547_26090,@AppleSupport [LINK],clarify,Music / Media,Other / General,0.6408,0.5207,The affected product or feature is unclear.
170,apple_2618346_25976,"@AppleSupport 11.1.1 and no, but I see there is a 11.1.2 now. I will just upgrade and let you know if it happens again.",auto_handle,Music / Media,Music / Media,0.849,0.6966,The issue is clear and relevant historical evidence is available.
184,apple_2358807_23608,@AppleSupport Its stuck here. Not working at all [LINK],auto_handle,App Issue,Other / General,0.6996,0.7275,The issue is clear and relevant historical evidence is available.
188,apple_2412491_24132,"@AppleSupport I’ll use those tips but my point is I’m not doing anything differently than I was before and my battery life just isn’t as good. Only change I’ve made is the IOS update... Same problem is happening with friends that have updated as well. Logical reasoning points to update, yes?",auto_handle,Battery / Charging,Battery / Charging,0.8676,0.7851,The issue is clear and relevant historical evidence is available.
