gold_id,conversation_id,predicted_action,predicted_intent,retrieval_similarity,generated_response,correctness,groundedness,helpfulness,relevance,action_appropriateness,overall_score,judge_reason,judge_success
1,apple_517124_4981,clarify,Other / General,0.7245,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
2,apple_51703_598,auto_handle,Settings / Features,0.723,"We understand you're experiencing an issue with Settings / Features. Here is standard guidance from Apple Support: We're glad to see it's back! If it disappears again, send us a DM and we'll continue working with you there to resolve this. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
3,apple_94865_944,clarify,Other / General,0.5207,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
4,apple_2298302_22768,escalate,Other / General,0.5304,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
5,apple_398857_3988,auto_handle,Battery / Charging,0.6968,"We understand you're experiencing an issue with Battery / Charging. Here is standard guidance from Apple Support: Let's take a more in-depth look at what's using the battery. Check out this article: DM us more info. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
6,apple_245374_2257,auto_handle,iOS / Software,0.8446,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Thanks for verifying that for us. We'd like to further review this for you. Please DM us and we'll get started. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
7,apple_1762990_17886,escalate,Messages / Calling,0.6476,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
8,apple_1364773_13178,escalate,Battery / Charging,0.7794,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
9,apple_2414296_24160,escalate,Music / Media,0.513,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
10,apple_2472869_24656,auto_handle,Connectivity,0.6864,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: How do you disable Wi-Fi? If you are using the Control Center to turn off Wi-Fi, Bluetooth and Wi-Fi are now only temporarily disabled in Control Center: To disable Wi-Fi go to Settings > Wi-Fi > Off. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
11,apple_1048032_10302,auto_handle,Settings / Features,0.6782,"We understand you're experiencing an issue with Settings / Features. Here is standard guidance from Apple Support: Does this only happen in the Messages app? Also, have you tried restarting your iPhone? If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
12,apple_773519_7512,escalate,Device / Hardware,0.5504,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
13,apple_810319_7819,auto_handle,Connectivity,0.8986,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: What you're seeing is expected. Check out the changes to Bluetooth and Wi-Fi in the iOS 11 Control Center in this article: If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
14,apple_1470012_14304,escalate,Other / General,0.5245,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
15,apple_2424408_24254,escalate,Other / General,0.6527,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
16,apple_1571667_15180,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
17,apple_2552549_25409,clarify,Other / General,0.8484,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
18,apple_1470098_14317,auto_handle,iOS / Software,0.7997,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Thanks. Also, please let us know if you still need assistance after you try the steps in the article we sent in our previous message. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
19,apple_2118374_20802,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
20,apple_745135_7213,clarify,Other / General,0.6348,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
21,apple_361058_3544,auto_handle,Other / General,0.7498,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Glad we were able to help. Have a wonderful rest of your day! If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
22,apple_370351_3694,auto_handle,Messages / Calling,0.7094,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: Thanks for confirming. Let’s continue the conversation in DM using the link below. If the issue persists, please let us know!",5,4,4,5,5,4.6,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
23,apple_766240_7445,auto_handle,App Issue,0.7515,"We understand you're experiencing an issue with App Issue. Here is standard guidance from Apple Support: You're very welcome! If you have questions down the road, we're here from 5 AM until 8 PM Pacific time, and happy to help. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
24,apple_2740759_26927,auto_handle,iOS / Software,0.7992,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: thanks for following up. Send us a DM so we can keep working with you there. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
25,apple_649802_6434,auto_handle,Other / General,0.941,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: Thank you for your reply. In DM, please let us know if you've had a chance to restart since the messages disappeared. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
26,apple_1711965_17227,auto_handle,Other / General,0.9232,"We understand you're experiencing an issue with Other / General. Here is standard guidance from Apple Support: We want to help you. DM us, and we can look into this deeper. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
27,apple_354527_3442,auto_handle,iOS / Software,0.775,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: We appreciate the additional information. We'd like to look into some additional support options. DM us which country you're in, as options can vary by location, and we'll get started. If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
28,apple_1120631_10962,auto_handle,iOS / Software,0.8355,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Got it, thanks. This article has the information for listening to music on your Apple Watch Series 3: If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
29,apple_612853_5955,auto_handle,iOS / Software,0.7769,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: Let's look into this together. Do you get any kind of error message when trying to update? If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
30,apple_1919794_19215,auto_handle,Apple ID / Account,0.6556,"We understand you're experiencing an issue with Apple ID / Account. Here is standard guidance from Apple Support: You're welcome. We hope you have a great day. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
31,apple_654399_6478,auto_handle,Connectivity,0.6873,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: Could you Direct Message us and let us know what country you're located in? If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
32,apple_1726597_17404,clarify,Other / General,1.0,"Could you please clarify which device, app, or feature is experiencing the issue?",5,5,4,5,5,4.8,Clarification question asks for missing device/app details appropriately without guessing.,True
33,apple_2278853_22163,escalate,Other / General,0.6141,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
34,apple_1694918_16885,auto_handle,Messages / Calling,0.7579,"We understand you're experiencing an issue with Messages / Calling. Here is standard guidance from Apple Support: Thanks for those details. Have all these apps been updated via the App Store? When did you first encounter these issues with the apps crashing? If the issue persists, please let us know!",5,5,4,5,5,4.8,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
35,apple_1007110_9916,escalate,Other / General,0.6954,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
36,apple_2731260_26843,escalate,Other / General,0.5016,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,5,4,5,5,4.8,Escalation response politely directs customer to an Apple Support specialist.,True
37,apple_463073_4595,auto_handle,Connectivity,0.6724,"We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: We noticed you have Low Power Mode on. If you deactivate this in Settings > Battery, do you still get this behavior? Send us a DM. If the issue persists, please let us know!",4,4,4,5,5,4.4,Auto-handle response is grounded in retrieved AppleSupport guidance.,True
