gold_id,conversation_id,latest_customer_message,predicted_intent,intent_confidence,top_similarity,escalation_category,reason
4,apple_2298302_22768,"@AppleSupport A: I don’t have Air pods, just regular headphones B: It was a joke, so yeah 😃",Other / General,0.542,0.5304,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5304) is below minimum confidence threshold (0.65).). Escalating to human specialist.
8,apple_1364773_13178,@AppleSupport iOS 11.0.2.,Battery / Charging,0.5178,0.7794,low intent confidence,Intent classification confidence (0.52) is below safe threshold (0.60). Escalating to human specialist.
9,apple_2414296_24160,@AppleSupport 7 and video/audio quality is choppy no matter what the connection is,Music / Media,0.9657,0.513,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5130) is below minimum confidence threshold (0.65).). Escalating to human specialist.
15,apple_2424408_24254,"@AppleSupport Guys I don’t wanna break up with you, but google... [LINK]",Other / General,0.5917,0.6527,low intent confidence,Intent classification confidence (0.59) is below safe threshold (0.60). Escalating to human specialist.
33,apple_2278853_22163,@AppleSupport It’s literally everywhere. Not just when I type.,Other / General,0.5,0.6141,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6141) is below minimum confidence threshold (0.65).). Escalating to human specialist.
35,apple_1007110_9916,@AppleSupport what to do ? Still not able to do anything,Other / General,0.3264,0.6954,low intent confidence,Intent classification confidence (0.33) is below safe threshold (0.60). Escalating to human specialist.
36,apple_2731260_26843,@AppleSupport 76. Was on 100 30 mins ago,Other / General,0.4567,0.5016,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5016) is below minimum confidence threshold (0.65).). Escalating to human specialist.
39,apple_2185372_21434,"@AppleSupport It’s not about accuracy. I used the activity app in the watch. That’s what said I burned 245 calories. So, the same watch should show 245 calories in the move ring.",Other / General,0.286,0.6028,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6028) is below minimum confidence threshold (0.65).). Escalating to human specialist.
40,apple_360740_3539,@AppleSupport We tried that a few weeks ago.,Other / General,0.5136,0.6356,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6356) is below minimum confidence threshold (0.65).). Escalating to human specialist.
42,apple_1771180_18096,"@AppleSupport Managed to get on a call, gonna have to try to do a walk in at the store. Thanks though 😊",Other / General,0.5301,0.5804,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5804) is below minimum confidence threshold (0.65).). Escalating to human specialist.
45,apple_2403762_23992,@AppleSupport Like I said a puzzle kinda missing the point there!,Other / General,0.2822,0.3734,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.3734) is below minimum confidence threshold (0.65).). Escalating to human specialist.
47,apple_1606700_15704,@AppleSupport Y'all need to start updating your products for 5 years instead of 3 that's how you loss customers,Other / General,0.2922,0.4887,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.4887) is below minimum confidence threshold (0.65).). Escalating to human specialist.
50,apple_2676896_26285,@AppleSupport Uh huhhhh have you read this article ? [LINK],Other / General,0.5572,0.5669,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5669) is below minimum confidence threshold (0.65).). Escalating to human specialist.
51,apple_889075_8738,"@AppleSupport There is a delayed touch response switching between apps and iPhone screens, and typing using the keyboard and also voice recognition. Also I have apps freeze now, and they didn’t used to before I upgraded.",Settings / Features,0.4279,0.761,low intent confidence,Intent classification confidence (0.43) is below safe threshold (0.60). Escalating to human specialist.
52,apple_2703186_26629,"@AppleSupport Ok let me try that, will let you know if I need further help :) Thnku.",Other / General,0.444,0.7891,low intent confidence,Intent classification confidence (0.44) is below safe threshold (0.60). Escalating to human specialist.
53,apple_710659_6982,@AppleSupport It was getting stuck signing into my account. Left it alone for a few hours and it finally worked,Other / General,0.3549,0.7796,low intent confidence,Intent classification confidence (0.35) is below safe threshold (0.60). Escalating to human specialist.
58,apple_119491_1125,"@AppleSupport Thank you, @AppleSupport I’m occupied for the holiday, but will try ASAP. #HappyThanksgiving",Other / General,0.6121,0.6075,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6075) is below minimum confidence threshold (0.65).). Escalating to human specialist.
59,apple_2840405_27761,"@AppleSupport 2012 Honda Accord. Used to connect automatically through USB cable when plugged in, after the update it says that it isn’t supported when I plug it in.",Battery / Charging,0.2962,0.5321,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5321) is below minimum confidence threshold (0.65).). Escalating to human specialist.
60,apple_612853_6006,@AppleSupport Hey apple I️ have a 7+ and it gets HOT every time I️ use it,App Issue,0.3449,0.675,low intent confidence,Intent classification confidence (0.34) is below safe threshold (0.60). Escalating to human specialist.
61,apple_2303697_22921,@AppleSupport It’s sorted now. It just 2 weeks which cost me money and ALOT of stress😫,Other / General,0.5332,0.5821,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.5821) is below minimum confidence threshold (0.65).). Escalating to human specialist.
62,apple_1439364_13974,"@AppleSupport Podcasts will stop out of nowhere, and my music will start playing.",Music / Media,0.9982,0.6493,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6493) is below minimum confidence threshold (0.65).). Escalating to human specialist.
63,apple_484601_4674,@AppleSupport Solved. In safe mode they looked good. With this last restart now it seems that they're displayed correctly. Thanks.,iOS / Software,0.4244,0.6261,insufficient retrieval evidence,Historical evidence is insufficient (Top retrieval similarity (0.6261) is below minimum confidence threshold (0.65).). Escalating to human specialist.
