gold_id,conversation_id,human_evidence_supported,human_support_score,human_notes
1,apple_517124_4981,,,
2,apple_51703_598,,,
3,apple_94865_944,,,
4,apple_2298302_22768,,,
11,apple_1048032_10302,,,
12,apple_773519_7512,,,
13,apple_810319_7819,,,
20,apple_745135_7213,,,
23,apple_766240_7445,,,
24,apple_2740759_26927,,,
26,apple_1711965_17227,,,
34,apple_1694918_16885,,,
39,apple_2185372_21434,,,
42,apple_1771180_18096,,,
43,apple_1245977_12275,,,
52,apple_2703186_26629,,,
54,apple_1148780_11256,,,
57,apple_2028919_20200,,,
60,apple_612853_6006,,,
65,apple_2355016_23518,,,
66,apple_2350807_23478,,,
69,apple_2414347_24167,,,
76,apple_954225_9396,,,
81,apple_1368823_13250,,,
83,apple_2295668_22648,,,
85,apple_2345911_23406,,,
87,apple_2125117_20906,,,
92,apple_1539336_14895,,,
97,apple_1258923_12324,,,
101,apple_2271615_22030,,,
102,apple_1956304_19534,,,
105,apple_2960121_28570,,,
119,apple_2452188_24581,,,
121,apple_1164667_11454,,,
128,apple_1180518_11642,,,
133,apple_1767355_17991,,,
135,apple_2287407_22466,,,
146,apple_652942_8859,,,
148,apple_1868484_18853,,,
155,apple_1776312_18227,,,
158,apple_2783273_27325,,,
171,apple_2686673_26407,,,
172,apple_938111_9183,,,
175,apple_667028_6677,,,
179,apple_1704600_17067,,,
180,apple_781849_7547,,,
186,apple_2149179_21272,,,
187,apple_23078_260,,,
193,apple_505193_4843,,,
195,apple_1964010_19605,,,
