gold_id,conversation_id,predicted_action,predicted_intent,customer_conversation,retrieved_evidence_summary,evidence_1_case_id,evidence_1_similarity,evidence_1_customer_message,evidence_1_apple_response,evidence_2_case_id,evidence_2_similarity,evidence_2_customer_message,evidence_2_apple_response,evidence_3_case_id,evidence_3_similarity,evidence_3_customer_message,evidence_3_apple_response,generated_response,llm_evidence_judge_score,llm_evidence_supported,llm_judge_supported_claims,llm_judge_unsupported_claims,human_evidence_supported,human_support_score,human_notes
1,apple_517124_4981,clarify,Other / General,"AppleSupport: @239229 We want to help! Has your phone rebooted and returned to normal now? [LINK]
Customer: @AppleSupport It has
AppleSupport: @239229 We're happy to hear it's working as expected now. Please feel free to reach out if the issue returns or you have other questions. We're always happy to help.","[Case 1 | ID: apple_215355_1922_215359 | Sim: 0.7245]
Customer: No, it has not.
AppleSupport: @167169 Good to know! If it gives you any other trouble then let us know.

[Case 2 | ID: apple_2506695_25034_2506692 | Sim: 0.6773]
Customer: It hasn’t so far
AppleSupport: @714724 Let's keep an eye on this. If it happens again message us back.

[Case 3 | ID: apple_1009295_9955_1009294 | Sim: 0.5239]
Customer: I have
AppleSupport: @358819 If you haven't yet, restart using the steps found here: https://t.co/OWRDHWSt4h Let us know whether there is any change.",apple_215355_1922_215359,0.7245,"No, it has not.",@167169 Good to know! If it gives you any other trouble then let us know.,apple_2506695_25034_2506692,0.6773,It hasn’t so far,@714724 Let's keep an eye on this. If it happens again message us back.,apple_1009295_9955_1009294,0.5239,I have,"@358819 If you haven't yet, restart using the steps found here: https://t.co/OWRDHWSt4h Let us know whether there is any change.","Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,YES,5,Clarification response matches the follow-up/check-in style of the retrieved evidence and the actual (resolved) conversation; consistent with the reference example for this row.
2,apple_51703_598,auto_handle,Settings / Features,"AppleSupport: @127615 We can help with MMS. Which version of the iOS are you currently running? You can check in Settings &gt; General &gt; About &gt; Version
Customer: @AppleSupport 11.0.3 (15A432) Last night my keyboard disappeared while trying to text so I reset the phone settings. Still having problems.
AppleSupport: @127615 Thanks. We’ll want to update to iOS 11.1 and then test again. Be sure to back up beforehand. DM us if the issue persists. [LINK]","[Case 1 | ID: apple_1898030_19061_1898031 | Sim: 0.7230]
Customer: 11.0.3 plus I got the keypad back (obviously since I am typing this) but this problem has been persistent for the past few days
AppleSupport: @150588 We're glad to see it's back! If it disappears again, send us a DM and we'll continue working with you there to resolve this. https://t.co/GDrqU22YpT

[Case 2 | ID: apple_999007_9737_999006 | Sim: 0.6724]
Customer: iphone 8+ and since i’ve updated to Ios 11.1 my keyboard is messed up
AppleSupport: @356546 Could you please describe what is going on with your keyboard. Please use as much detail as possible. Feel free to DM. https://t.co/GDrqU22YpT

[Case 3 | ID: apple_2029644_20205_2029645 | Sim: 0.6520]
Customer: Ever since the 10.0 upgrade... where is my keyboard?? Happens alllllll the time https://t.co/KFz2ECeqZV
AppleSupport: @242573 We'd like to learn more about this. Let us know in a DM what model iPhone you have & the current iOS version installed. https://t.co/GDrqU22YpT",apple_1898030_19061_1898031,0.723,11.0.3 plus I got the keypad back (obviously since I am typing this) but this problem has been persistent for the past few days,"@150588 We're glad to see it's back! If it disappears again, send us a DM and we'll continue working with you there to resolve this. https://t.co/GDrqU22YpT",apple_999007_9737_999006,0.6724,iphone 8+ and since i’ve updated to Ios 11.1 my keyboard is messed up,@356546 Could you please describe what is going on with your keyboard. Please use as much detail as possible. Feel free to DM. https://t.co/GDrqU22YpT,apple_2029644_20205_2029645,0.652,Ever since the 10.0 upgrade... where is my keyboard?? Happens alllllll the time https://t.co/KFz2ECeqZV,@242573 We'd like to learn more about this. Let us know in a DM what model iPhone you have & the current iOS version installed. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with Settings / Features. Here is standard guidance from Apple Support: We're glad to see it's back! If it disappears again, send us a DM and we'll continue working with you there to resolve this. If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,"Response text is verbatim from top-matched Case 1 (keyboard reappeared, DM if it recurs). The real conversation says the keyboard is still having problems, so applicability to this exact turn is questionable, but the response content itself is directly grounded in evidence."
3,apple_94865_944,clarify,Other / General,"AppleSupport: @136618 That should not be happening. Let us help. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.
Customer: @AppleSupport [LINK]","[Case 1 | ID: apple_667796_6688_667797 | Sim: 0.5207]
Customer: What link?
AppleSupport: @279180 Sorry about that! We forgot to include the link. Please click here and meet up with us in Direct Message: https://t.co/GDrqU22YpT

[Case 2 | ID: apple_2138209_21083_2138210 | Sim: 0.4705]
Customer: there’s no link included
AppleSupport: @628907 How about this one? Do you have the option to start a DM from here? https://t.co/GDrqU22YpT

[Case 3 | ID: apple_188535_1705_188528 | Sim: 0.4550]
Customer: There is no link.
AppleSupport: @160247 It may appear with the words, “Send a private message”. https://t.co/GDrqU22YpT",apple_667796_6688_667797,0.5207,What link?,@279180 Sorry about that! We forgot to include the link. Please click here and meet up with us in Direct Message: https://t.co/GDrqU22YpT,apple_2138209_21083_2138210,0.4705,there’s no link included,@628907 How about this one? Do you have the option to start a DM from here? https://t.co/GDrqU22YpT,apple_188535_1705_188528,0.455,There is no link.,"@160247 It may appear with the words, “Send a private message”. https://t.co/GDrqU22YpT","Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,NO,2,"Generic clarify template, but retrieved evidence is specifically about a missing/invisible DM link, not about identifying which device/app/feature is affected. Only weak topical overlap."
4,apple_2298302_22768,escalate,Other / General,"AppleSupport: @667151 We'll help. Which headphones are you using? The new Air Pods do have a Find My... feature.
Customer: @AppleSupport A: I don’t have Air pods, just regular headphones B: It was a joke, so yeah 😃","[Case 1 | ID: apple_398829_3982_398828 | Sim: 0.5304]
Customer: Apple EarPods
AppleSupport: @210318 Let's move to DM for a closer look. What version of iOS is your iPhone on? https://t.co/GDrqU22YpT

[Case 2 | ID: apple_1454553_14153_1454559 | Sim: 0.5301]
Customer: Just my phone with the AirPods and sometimes wired Apple pods. And other Bluetooth apparatus.
AppleSupport: @127273 Got it. Let's have you back up your data, then update to the latest version of iOS, 11.0.3. Let us know if that helps

[Case 3 | ID: apple_2127354_20935_2127355 | Sim: 0.5193]
Customer: I'm referring to the airpods lol
AppleSupport: @626364 Got it. They are compatible with macOS Sierra and later on Macs. More info can be found here: https://t.co/Cp5rD2DLjE",apple_398829_3982_398828,0.5304,Apple EarPods,@210318 Let's move to DM for a closer look. What version of iOS is your iPhone on? https://t.co/GDrqU22YpT,apple_1454553_14153_1454559,0.5301,Just my phone with the AirPods and sometimes wired Apple pods. And other Bluetooth apparatus.,"@127273 Got it. Let's have you back up your data, then update to the latest version of iOS, 11.0.3. Let us know if that helps",apple_2127354_20935_2127355,0.5193,I'm referring to the airpods lol,@626364 Got it. They are compatible with macOS Sierra and later on Macs. More info can be found here: https://t.co/Cp5rD2DLjE,"I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,NO,2,"Actual exchange is a joking non-issue (customer clarifies they don't have AirPods, 'it was a joke'), with no failed troubleshooting attempt. Evidence (EarPods/AirPods DM handoff) doesn't support the claim that 'troubleshooting steps haven't resolved this.'"
11,apple_1048032_10302,auto_handle,Settings / Features,"AppleSupport: @367708 We want your iOS device working for you. We'll do all we can to help. To start, let us know what device you're using.
Customer: @AppleSupport iPhone 7
AppleSupport: @367708 We appreciate the info. When you mention your iPhone having keyboard bugs, can you describe for us what you mean?
Customer: @AppleSupport Keyboard expands when I want to type (like normal). But at times will not retract. I cannot see recent texts bc keyboard covers them
AppleSupport: @367708 We'd like to look into this with you in more detail. Send us a DM using the following link to continue. [LINK]","[Case 1 | ID: apple_2413047_24154_2413045 | Sim: 0.6782]
Customer: My keyboard no longer stretches across the entire device while in landscape mode. It makes it difficult to type. This happened when I upgraded from iOS10 to iOS11 a couple days ago. https://t.co/huvQpuv9DO
AppleSupport: @693690 Does this only happen in the Messages app? Also, have you tried restarting your iPhone?

[Case 2 | ID: apple_944341_9293_944342 | Sim: 0.6781]
Customer: Hi I have a iPhone 7. When I type letters carry on appearing even if I’m not typing and new apps open by themselves
AppleSupport: @343917 What’s the exact version of iOS you’re using? Navigate to Settings > General > About to find out, and let us know in DM. https://t.co/GDrqU22YpT

[Case 3 | ID: apple_12021_222_12022 | Sim: 0.6366]
Customer: The only keyboard I have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.
AppleSupport: @118366 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT",apple_2413047_24154_2413045,0.6782,My keyboard no longer stretches across the entire device while in landscape mode. It makes it difficult to type. This happened when I upgraded from iOS10 to iOS11 a couple days ago. https://t.co/huvQpuv9DO,"@693690 Does this only happen in the Messages app? Also, have you tried restarting your iPhone?",apple_944341_9293_944342,0.6781,Hi I have a iPhone 7. When I type letters carry on appearing even if I’m not typing and new apps open by themselves,"@343917 What’s the exact version of iOS you’re using? Navigate to Settings > General > About to find out, and let us know in DM. https://t.co/GDrqU22YpT",apple_12021_222_12022,0.6366,"The only keyboard I have is whatever my iPhone came with. It’s occurring in everything: messages, social media, emailing ect.",@118366 We'd like to take a closer look. Send us a DM and we can start there. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with Settings / Features. Here is standard guidance from Apple Support: Does this only happen in the Messages app? Also, have you tried restarting your iPhone? If the issue persists, please let us know!",3,False,General advice,Specific menu action,YES,5,"Response is verbatim from top-matched Case 1 (keyboard landscape issue: restart + Messages-app check). Disagree with automated llm_evidence_judge (3/False, flagged 'specific menu action') -- no menu path appears anywhere in the generated text itself."
12,apple_773519_7512,escalate,Device / Hardware,"AppleSupport: @304774 We'd love to help you out! When you say it isn't working, do you mean it won't connect? Or that it has no power?
Customer: @AppleSupport the connection is made but after 2 or 3 min does not recognize the click or is frozen, or the click is made on another part of the screen
AppleSupport: @304774 Thank you for clarifying that for us! Check out the steps in this article to help resolve the problem: [LINK] [LINK]
Customer: @AppleSupport I already did the steps that indicates the link and still Magic Mouse doesn’t work correctly, since upgrading to High Sierra this happens 😩
AppleSupport: @304774 Thanks for working through those steps. Let's meet up in DM and continue our troubleshooting there. [LINK]","[Case 1 | ID: apple_1386663_13411_1386659 | Sim: 0.5504]
Customer: It’s just when I try to click it so the screen isn’t on it just doesn’t work
AppleSupport: @442656 Got it. Would you mind please joining us in DM? We'd like to continue our conversation there. https://t.co/GDrqU22YpT

[Case 2 | ID: apple_2297282_22745_2297286 | Sim: 0.5405]
Customer: This is odd. It just connected. I’m now updating to high Sierra.
AppleSupport: @519160 Wonderful! Please let us know what happens. We'll be here for you.

[Case 3 | ID: apple_2424433_24257_2424434 | Sim: 0.5311]
Customer: I have a Macbook Pro Retina, Early 2013 model and I use OS X El Capitan Version 10.11.16. My bluetooth magic mouse often doesn’t connect to my device. There seems to be a bluetooth problem.
AppleSupport: @696235 To help guide us through troubleshooting, have you tried other Bluetooth devices with the Mac to see what occurs?",apple_1386663_13411_1386659,0.5504,It’s just when I try to click it so the screen isn’t on it just doesn’t work,@442656 Got it. Would you mind please joining us in DM? We'd like to continue our conversation there. https://t.co/GDrqU22YpT,apple_2297282_22745_2297286,0.5405,This is odd. It just connected. I’m now updating to high Sierra.,@519160 Wonderful! Please let us know what happens. We'll be here for you.,apple_2424433_24257_2424434,0.5311,"I have a Macbook Pro Retina, Early 2013 model and I use OS X El Capitan Version 10.11.16. My bluetooth magic mouse often doesn’t connect to my device. There seems to be a bluetooth problem.","@696235 To help guide us through troubleshooting, have you tried other Bluetooth devices with the Mac to see what occurs?","I’m sorry to hear the troubleshooting steps haven't resolved this. At this point, I recommend connecting directly with an Apple Support specialist who can look into your device and assist you further.",5,True,Polite inquiry or specialist handoff,,YES,5,"Matches evidence and actual conversation: multiple troubleshooting steps already tried (link, further clicking issue) without success, followed by DM escalation -- consistent with Cases 1 and 3."
13,apple_810319_7819,auto_handle,Connectivity,"AppleSupport: In iOS 11 on #iPad, all of your files are now in one handy place. Here's a look at the new Files app. Learn more [LINK] [LINK]
Customer: @AppleSupport How come when I switch wifi and Bluetooth off from the control center, in settings it’s still on?
AppleSupport: @313193 We're happy to help. Take a look here for a summary of how Bluetooth works in the Control Center in iOS 11: [LINK]","[Case 1 | ID: apple_639664_6307_639663 | Sim: 0.8986]
Customer: Why is it when using the control center to shut off WiFi or Bluetooth, it doesn't turn off. When you go to settings there still on?
AppleSupport: @271729 What you're seeing is expected. Check out the changes to Bluetooth and Wi-Fi in the iOS 11 Control Center in this article: https://t.co/JxDWijvIa0

[Case 2 | ID: apple_2746201_26979_2746200 | Sim: 0.8182]
Customer: Ahh that makes sense. So basically if you disable either Wi-fi or Bluetooth in the control center then move to a different location it re activates. To turn it off and keep it off you do it via the settings right?
AppleSupport: @769036 You've got it! Thanks for reaching out and please don't hesitate to let us know, if you have questions in the future.

[Case 3 | ID: apple_358947_3500_358944 | Sim: 0.8074]
Customer: Expected behaviour ?? We wish that the wifi and Bluetooth actually switched off when used in Control Center !
AppleSupport: @201006 If you like, you can leave your thoughts on this at our Feedback website: https://t.co/J46COPJzUo",apple_639664_6307_639663,0.8986,"Why is it when using the control center to shut off WiFi or Bluetooth, it doesn't turn off. When you go to settings there still on?",@271729 What you're seeing is expected. Check out the changes to Bluetooth and Wi-Fi in the iOS 11 Control Center in this article: https://t.co/JxDWijvIa0,apple_2746201_26979_2746200,0.8182,Ahh that makes sense. So basically if you disable either Wi-fi or Bluetooth in the control center then move to a different location it re activates. To turn it off and keep it off you do it via the settings right?,"@769036 You've got it! Thanks for reaching out and please don't hesitate to let us know, if you have questions in the future.",apple_358947_3500_358944,0.8074,Expected behaviour ?? We wish that the wifi and Bluetooth actually switched off when used in Control Center !,"@201006 If you like, you can leave your thoughts on this at our Feedback website: https://t.co/J46COPJzUo","We understand you're experiencing an issue with Connectivity. Here is standard guidance from Apple Support: What you're seeing is expected. Check out the changes to Bluetooth and Wi-Fi in the iOS 11 Control Center in this article: If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,Response is verbatim from top-matched Case 1 (Control Center Bluetooth/Wi-Fi explanation) and matches the actual customer's exact question.
20,apple_745135_7213,clarify,Other / General,"AppleSupport: @298129 We'd like to see why this is happening. DM us which iOS version you have in Settings &gt; General &gt; About to get started. [LINK]
Customer: @AppleSupport Just replied 👍🏻
AppleSupport: @298129 Perfect. We received your DM, and we'll follow up there shortly to see how we can help. [LINK]","[Case 1 | ID: apple_1152798_11326_1152799 | Sim: 0.6348]
Customer: I just sent the message ;)
AppleSupport: @391263 We received your DMs. Be on the lookout for our response there.

[Case 2 | ID: apple_1386400_13370_1386401 | Sim: 0.6004]
Customer: Just sent you a message.
AppleSupport: @442609 We've responded to your DM. Look for us there.

[Case 3 | ID: apple_1666322_16529_1666321 | Sim: 0.5833]
Customer: Thanks, i sent a message 👍
AppleSupport: @507635 We see your DM and will repsond shortly. Look for us there.",apple_1152798_11326_1152799,0.6348,I just sent the message ;),@391263 We received your DMs. Be on the lookout for our response there.,apple_1386400_13370_1386401,0.6004,Just sent you a message.,@442609 We've responded to your DM. Look for us there.,apple_1666322_16529_1666321,0.5833,"Thanks, i sent a message 👍",@507635 We see your DM and will repsond shortly. Look for us there.,"Could you please clarify which device, app, or feature is experiencing the issue?",5,True,Polite inquiry or specialist handoff,,NO,2,"Actual conversation and evidence both show a closing/DM-transition exchange (customer already sent requested info, Apple confirms receipt) rather than a situation needing a generic clarifying question."
23,apple_766240_7445,auto_handle,App Issue,"AppleSupport: @303125 The site is still working normally. Let's take a look together and figure out what is occurring. Which device is this on?
Customer: @AppleSupport Only seems to be doing this in Chrome. Tried it in FF and Safari and it seems fine. Cleared cache and hosted app data in Chrome as well.","[Case 1 | ID: apple_1331977_12753_1331976 | Sim: 0.7515]
Customer: It seemed to be google chrome as it has now resolved since running the update for that app this morning. Thanks for the reply 👍
AppleSupport: @430739 You're very welcome! If you have questions down the road, we're here from 5 AM until 8 PM Pacific time, and happy to help.

[Case 2 | ID: apple_1379649_13365_1379647 | Sim: 0.6910]
Customer: I’ve not seen it happen anywhere else, but I’ve not been looking because mine isn’t working. It works on google Chrome, everyone else’s mac, and on my phone. Just not on my safari
AppleSupport: @441171 Let's check Safari > Preferences > Extensions to see if anything may be installed that could block those images.

[Case 3 | ID: apple_1202015_11819_1202010 | Sim: 0.6890]
Customer: Hi ,got the same issue with apps again. Is this some kind of bug? https://t.co/uCQHuVwHJ2
AppleSupport: @402418 Thanks for letting us know. Is the restart not resolving it? DM us and let us know. https://t.co/GDrqU22YpT",apple_1331977_12753_1331976,0.7515,It seemed to be google chrome as it has now resolved since running the update for that app this morning. Thanks for the reply 👍,"@430739 You're very welcome! If you have questions down the road, we're here from 5 AM until 8 PM Pacific time, and happy to help.",apple_1379649_13365_1379647,0.691,"I’ve not seen it happen anywhere else, but I’ve not been looking because mine isn’t working. It works on google Chrome, everyone else’s mac, and on my phone. Just not on my safari",@441171 Let's check Safari > Preferences > Extensions to see if anything may be installed that could block those images.,apple_1202015_11819_1202010,0.689,"Hi ,got the same issue with apps again. Is this some kind of bug? https://t.co/uCQHuVwHJ2",@402418 Thanks for letting us know. Is the restart not resolving it? DM us and let us know. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with App Issue. Here is standard guidance from Apple Support: You're very welcome! If you have questions down the road, we're here from 5 AM until 8 PM Pacific time, and happy to help. If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,4,"Response text matches top-matched Case 1 verbatim ('You're very welcome... 5AM-8PM Pacific'). However, the actual customer message is mid-troubleshooting (Chrome-only issue, cache cleared) rather than a thank-you, so the specific case chosen doesn't fit this turn even though the wording itself is evidence-grounded."
24,apple_2740759_26927,auto_handle,iOS / Software,"AppleSupport: @585276 We can look into this with you now. What version of iOS 11 are you having this trouble with?
Customer: @AppleSupport 11.0.3 which I installed 2 weeks ago. I bought the iPhone 7 in Sept 17, marvelled at its long batter life only to have it severely diminished due to the update
AppleSupport: @585276 Thank you for this information. Once updated, please reach out to us in DM if you're still having issues. [LINK]","[Case 1 | ID: apple_1932777_19317_1932778 | Sim: 0.7992]
Customer: 11.0.3 on iPhone 7
AppleSupport: @323545 thanks for following up. Send us a DM so we can keep working with you there. https://t.co/GDrqU22YpT

[Case 2 | ID: apple_1166864_11488_1166860 | Sim: 0.7968]
Customer: 11.0.3 iPhone 7
AppleSupport: @394468 Do you have any nearby Bluetooth devices around you? Also, could you tell us how you normally turn off Bluetooth?

[Case 3 | ID: apple_967782_9540_967783 | Sim: 0.7829]
Customer: 11.0.3 ... the exact same thing with battery life happened to my iPhone6 upon the release of the 7.
AppleSupport: @349717 Let’s look into what’s happening with your iPhone battery performance further. DM us the country you’re in. https://t.co/GDrqU22YpT",apple_1932777_19317_1932778,0.7992,11.0.3 on iPhone 7,@323545 thanks for following up. Send us a DM so we can keep working with you there. https://t.co/GDrqU22YpT,apple_1166864_11488_1166860,0.7968,11.0.3 iPhone 7,"@394468 Do you have any nearby Bluetooth devices around you? Also, could you tell us how you normally turn off Bluetooth?",apple_967782_9540_967783,0.7829,11.0.3 ... the exact same thing with battery life happened to my iPhone6 upon the release of the 7.,@349717 Let’s look into what’s happening with your iPhone battery performance further. DM us the country you’re in. https://t.co/GDrqU22YpT,"We understand you're experiencing an issue with iOS / Software. Here is standard guidance from Apple Support: thanks for following up. Send us a DM so we can keep working with you there. If the issue persists, please let us know!",5,True,Standard troubleshooting guidance from Apple Support interaction,,YES,5,"Response text matches top-matched Case 1 verbatim ('thanks for following up, send DM')."
